Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2016 11:59:59 PM	12647	2	965	2	0	0	0	0.01	63	120.62	1.61	1.61	58902	0	0.01	0	1.89	0		0	0	0	0	0	0		0	0		2.11		0		0		0	0	0	0	0				
3/31/2016 11:59:59 PM	12656	-23	287	1	0	0	0	-0.86			2.74	2.74	10716	252.63	0.04	0.9	95.67	-1.25		0	-7.59	0			0		0	0	0	0				0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	12937	0	1915	0	0	0	0.06	0			1.24	1.24	154455	0	0	0	87.05	0		0	0	0	0	0	0			0		0		0		0	0	0	0	0	0					
3/31/2016 11:59:59 PM	12946	259	16558	345	0	0	0.1	0.1	20.76	15.98	1.65	1.64	1000584	6.85	0.14	0.03	0.84	0.06		0	0	0.14	0	0	0		0	0.12		1.11	0	0		0.02	0	0	0	0.04	4.57	0	0			
3/31/2016 11:59:59 PM	12955	18	1372	20	0	0	0.08	0.06	24.39	19.06	1.21	1.16	114659		0.07	0.01	47.31	0.08		0	0	0.23	0	0	0			0		0		0		0	0	0	0	0	3.4	0				
3/31/2016 11:59:59 PM	13103	46	13068	73	0	0	0.1	0.01	89.76	71.02	0.94	0.93	1391315	5.64	0.02	0.01	1.02	0		0		0	0	0	0			0.06		0.05		0		0	0	0	0	0	0	0.04				
3/31/2016 11:59:59 PM	13251	-3	460	1	0	0	0.3	-0.05			1.94	1.94	23545	8.38	0.02	0.07	1.3	0		0	0	0			0		0	-0.39		0				0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	13457	0	194	0	0	0	0.16	0			1.75	1.75	11368		0	0	0.77	0			0	0			0		0	0		0		0				0		0		0				
3/31/2016 11:59:59 PM	14052	0	504	0	0	0	0	0			1.14	1.14	43612	0	0	0	0.75	0		0	0	0	0		0			0		0		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	14155	55	2106	66	0	0	0.17	0.16	13.25	9.57	1.47	1.46	140564	49.44	0.19	0.03	2.6	0.28	0	0	0	0.48	0	0	0		0	-0.13	0	-0.08		-1.36		0	0	0	0	0.52	-0.37	-0.14				
