Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2011 11:59:59 PM	10849	0	0	24789	0	2470	16525	151485	0	2470	1797	0	0	5349	23013	694	22319	24789	0	197255	0	0	3112	3112	0	200367	0	198571	0	0	40422	
3/31/2011 11:59:59 PM	10858	4	0	37069	0	2645	69905	193560	0	2649	0	0	0	20793	37159	2739	34420	37069	0	229912	0	0	9062	9062	0	238974	0	238975	0	0	15560	
3/31/2011 11:59:59 PM	11145	0	0	17724	0	1355	12020	68407	0	1355	314	0	0	4213	16819	450	16369	17724	0	108084	0	0	307	307	0	108391	0	108077	0	0	35464	
3/31/2011 11:59:59 PM	11640	0	0	32822	0	2925	6502	171160	0	2925	98	0	0	19213	29897	0	29897	32822	0	217178	0	0	16890	16890	0	234068	0	233970	0	0	26805	
3/31/2011 11:59:59 PM	11837	0	0	11307	0	625	18254	33168	290	625	360	0	0	9656	10972	0	10682	11307	0	49287	0	0	742	742	0	50029	0	49669	0	0	6463	
3/31/2011 11:59:59 PM	12030	0	0	37636	0	3103	44952	210589	0	3103	7351	0	0	4397	34533	0	34533	37636	0	245097	0	0	3177	3177	0	248274	0	240923	0	0	30111	
3/31/2011 11:59:59 PM	12142	0	0	21444	0	1595	9264	114361	0	1595	159	0	0	10826	19849	0	19849	21444	0	127614	2	0	0	2	0	127616	0	127457	0	0	2427	
3/31/2011 11:59:59 PM	12245	0	0	13853	0	902	4773	47492	0	902	379	0	0	5002	12951	0	12951	13853	0	71763	0	0	401	401	0	72164	0	71785	0	0	19269	
3/31/2011 11:59:59 PM	12311	61	0	5603840	1271300	542087	3126091	35403471	117228	1813448	617520	0	0	1511635	4425806	518186	3790392	5603840	0	40614465	27849	224352	2500922	2753123	0	43367588	0	42750069	0	0	3699360	
3/31/2011 11:59:59 PM	12647	0	0	10334	0	707	1045	63754	0	707	0	0	0	1595	9627	0	9627	10334	0	75266	0	0	202	202	0	75468	0	75468	0	0	9917	
3/31/2011 11:59:59 PM	12656	0	0	1492	0	137	289	6459	0	137	119	0	0	644	1355	0	1355	1492	0	10974	0	0	0	0	0	10974	0	10855	0	0	3871	
3/31/2011 11:59:59 PM	12937	0	0	33941	0	1958	711	152508	0	1958	0	0	0	4722	31983	0	31983	33941	0	172041	0	2500	4210	6710	0	178751	0	178751	0	0	14811	
3/31/2011 11:59:59 PM	12946	0	0	66604	0	6344	4834	387954	0	6344	2406	0	0	23416	71413	11153	60260	66604	0	501620	0	42	5639	5681	0	507301	0	504895	0	0	90250	
3/31/2011 11:59:59 PM	12955	0	0	13189	0	926	4	90868	0	926	0	0	0	2196	12263	0	12263	13189	0	98064	0	0	1215	1215	0	99279	0	99279	0	0	5000	
3/31/2011 11:59:59 PM	13037	0	0	17063	0	1153	20672	64105	1015	1153	1158	0	0	5073	24935	8010	15910	17063	0	90120	0	0	2425	2425	0	92545	0	91387	0	0	20942	
3/31/2011 11:59:59 PM	13103	0	0	171768	0	10302	24055	761239	0	10302	0	0	0	36580	169615	8149	161466	171768	0	942968	0	303	0	303	628	943270	0	943270	0	0	145149	
3/31/2011 11:59:59 PM	13251	0	0	4060	0	302	6	17076	0	302	302	0	0	3144	3758	0	3758	4060	0	24124	0	0	0	0	0	24124	0	23822	0	0	3904	
3/31/2011 11:59:59 PM	13457	0	0	5944	0	136	125	10019	0	136	0	0	0	2077	5808	0	5808	5944	0	12354	0	0	453	453	0	12807	0	12807	0	0	258	
3/31/2011 11:59:59 PM	14052	0	0	6532	0	505	10702	32275	268	505	655	0	0	1889	6295	0	6027	6532	0	39965	0	0	448	448	0	40413	0	39758	0	0	5801	
3/31/2011 11:59:59 PM	14155	0	0	15417	0	1192	806	74370	0	1192	488	0	0	1118	14225	0	14225	15417	0	94371	0	0	996	996	0	95367	0	94879	0	0	18883	
3/31/2011 11:59:59 PM	14650	0	0	2868	0	223	2896	14738	0	223	10	0	0	1067	2735	90	2645	2868	0	17803	0	0	7	7	0	17810	0	17800	0	0	1998	
3/31/2011 11:59:59 PM	14753	0	0	3646	0	299	2816	13636	0	1276	204	0	0	2332	2370	0	2370	3646	0	23259	0	0	699	699	0	23958	0	23754	0	977	7291	
3/31/2011 11:59:59 PM	14865	0	0	28783	0	2522	29831	178443	0	2522	709	0	0	5592	26661	400	26261	28783	0	192048	0	0	9745	9745	0	201793	0	201084	0	0	8013	
3/31/2011 11:59:59 PM	14977	0	0	7782	0	320	0	23050	0	320	0	0	0	4252	7462	0	7462	7782	0	27421	0	0	5	5	0	27426	0	27426	0	0	119	
3/31/2011 11:59:59 PM	16458	0	0	34124	0	2170	14610	131541	0	2170	358	0	0	24791	31954	0	31954	34124	0	166280	0	0	7347	7347	0	173627	0	173270	0	0	9949	
3/31/2011 11:59:59 PM	16551	0	0	17153	0	1706	968	99193	0	1706	805	0	0	3130	17736	2289	15447	17153	0	124036	0	0	12484	12484	0	136520	0	135715	0	0	21713	
