Reporting Period	ID RSSD	UBPRE836	UBPRE837	UBPRE838	UBPRE839	UBPRE840	UBPRE841	UBPRE842	UBPRE843	UBPRE844	UBPRE845	UBPRE846	UBPRE847	UBPRE848	UBPRE849	UBPRE850	UBPRE851	UBPRE852	UBPRE853	UBPRE854	UBPRE855	UBPRE856	UBPRE857	UBPRE858	UBPRE859	UBPRE860	UBPRE861	UBPRE862	UBPRE863	UBPRE864	UBPRE865	UBPRE866	UBPRE867	UBPRE868	UBPRE869	UBPRE870	UBPRE871	UBPRE872	UBPRE873	UBPRE874	UBPRE875	UBPRE876	
		PDS_3089_FAMRES_T	PDS_3089_HOMEQ_T	PDS_3089_CRCD_T	PDS_3089_AUTLN_T	PDS_3089_CMLLN_T	PDS_3089_OTHLN_T	PDS_3089_TOT_T	PDS_90MOR_FAMRES_T	PDS_90MOR_HOMEQ_T	PDS_90MOR_CRCD_T	PDS_90MOR_AUTLN_T	PDS_90MOR_CMLLN_T	PDS_90MOR_OTHLN_T	PDS_90MOR_TOT_T	PDS_SEC_ASET_T	NCOS_FAMRES_T	NCOS_HOMEQ_T	NCOS_CRCD_T	NCOS_AUTLN_T	NCOS_CMLLN_T	NCOS_OTHLN_T	NCOS_TOT_T	PDM_3089_FAMRES_T	PDM_3089_HOMEQ_T	PDM_3089_CRCD_T	PDM_3089_CMLLN_T	PDM_3089_OTHLN_T	PDM_3089_TOT_T	PDM_90MOR_FAMRES_T	PDM_90MOR_HOMEQ_T	PDM_90MOR_CRCD_T	PDM_90MOR_CMLLN_T	PDM_90MOR_OTHLN_T	PDM_90MOR_TOT_T	PDM_SEC_ASET_T	NCOS_FAMRES_TM_T	NCOS_HOMEQ_TM_T	NCOS_CRCD_TM_T	NCOS_CMLLN_TM_T	NCOS_OTHLN_TM_T	NCOS_TOT_TM_T	
3/31/2007 11:59:59 PM	50461																																										
3/31/2007 11:59:59 PM	50546																																										
3/31/2007 11:59:59 PM	50854																																										
3/31/2007 11:59:59 PM	50957																																										
3/31/2007 11:59:59 PM	51253																																										
3/31/2007 11:59:59 PM	51356																																										
3/31/2007 11:59:59 PM	51459																																										
3/31/2007 11:59:59 PM	51730																																										
3/31/2007 11:59:59 PM	51842																																										
3/31/2007 11:59:59 PM	52410																																										
3/31/2007 11:59:59 PM	52456																																										
3/31/2007 11:59:59 PM	52719																																										
3/31/2007 11:59:59 PM	52951																																										
3/31/2007 11:59:59 PM	53015																																										
3/31/2007 11:59:59 PM	53033																																										
3/31/2007 11:59:59 PM	53051																																										
3/31/2007 11:59:59 PM	53239																																										
3/31/2007 11:59:59 PM	53453																																										
3/31/2007 11:59:59 PM	53752																																										
3/31/2007 11:59:59 PM	54049																																										
3/31/2007 11:59:59 PM	54058																																										
3/31/2007 11:59:59 PM	54357																																										
3/31/2007 11:59:59 PM	54375																																										
3/31/2007 11:59:59 PM	54441																																										
3/31/2007 11:59:59 PM	54656																																										
3/31/2007 11:59:59 PM	55176																																										
3/31/2007 11:59:59 PM	55251																																										
3/31/2007 11:59:59 PM	55336																																										
3/31/2007 11:59:59 PM	55635																																										
3/31/2007 11:59:59 PM	55653																																										
3/31/2007 11:59:59 PM	56230																																										
3/31/2007 11:59:59 PM	56258																																										
3/31/2007 11:59:59 PM	56351																																										
3/31/2007 11:59:59 PM	56427																																										
3/31/2007 11:59:59 PM	56548																																										
3/31/2007 11:59:59 PM	56557																																										
3/31/2007 11:59:59 PM	56717																																										
3/31/2007 11:59:59 PM	56726																																										
3/31/2007 11:59:59 PM	57040																																										
3/31/2007 11:59:59 PM	57228																																										
3/31/2007 11:59:59 PM	57255																																										
3/31/2007 11:59:59 PM	57451																																										
3/31/2007 11:59:59 PM	57572																																										
3/31/2007 11:59:59 PM	57956																																										
3/31/2007 11:59:59 PM	58074																																										
3/31/2007 11:59:59 PM	58207																																										
3/31/2007 11:59:59 PM	58225																																										
3/31/2007 11:59:59 PM	58243																																										
3/31/2007 11:59:59 PM	58355																																										
3/31/2007 11:59:59 PM	58551																																										
3/31/2007 11:59:59 PM	58636																																										
3/31/2007 11:59:59 PM	58757																																										
3/31/2007 11:59:59 PM	58971																																										
3/31/2007 11:59:59 PM	59316																																										
3/31/2007 11:59:59 PM	59352																																										
3/31/2007 11:59:59 PM	59679																																										
3/31/2007 11:59:59 PM	59754																																										
3/31/2007 11:59:59 PM	60143																																										
3/31/2007 11:59:59 PM	60219																																										
3/31/2007 11:59:59 PM	60330																																										
3/31/2007 11:59:59 PM	60433																																										
3/31/2007 11:59:59 PM	60545																																										
3/31/2007 11:59:59 PM	60554																																										
3/31/2007 11:59:59 PM	60648																																										
3/31/2007 11:59:59 PM	61122																																										
3/31/2007 11:59:59 PM	61355																																										
3/31/2007 11:59:59 PM	61476	0						0	0						0	0	0						0	0	0			0	0		0				0	0	0	0			0	0	
3/31/2007 11:59:59 PM	61533																																										
3/31/2007 11:59:59 PM	61757																																										
3/31/2007 11:59:59 PM	61832																																										
3/31/2007 11:59:59 PM	61953																																										
3/31/2007 11:59:59 PM	62044																																										
3/31/2007 11:59:59 PM	62101																																										
3/31/2007 11:59:59 PM	62147																																										
3/31/2007 11:59:59 PM	63050																																										
3/31/2007 11:59:59 PM	63069																																										
3/31/2007 11:59:59 PM	63078																																										
3/31/2007 11:59:59 PM	63201																																										
3/31/2007 11:59:59 PM	63359																																										
3/31/2007 11:59:59 PM	63573																																										
3/31/2007 11:59:59 PM	63733																																										
3/31/2007 11:59:59 PM	63742																																										
3/31/2007 11:59:59 PM	63751																																										
3/31/2007 11:59:59 PM	64150																																										
3/31/2007 11:59:59 PM	64543																																										
3/31/2007 11:59:59 PM	64552																																										
3/31/2007 11:59:59 PM	64619																																										
3/31/2007 11:59:59 PM	64730																																										
3/31/2007 11:59:59 PM	65205																																										
3/31/2007 11:59:59 PM	65241																																										
3/31/2007 11:59:59 PM	65513																																										
3/31/2007 11:59:59 PM	65559																																										
3/31/2007 11:59:59 PM	65746																																										
3/31/2007 11:59:59 PM	65858																																										
3/31/2007 11:59:59 PM	66015																																										
3/31/2007 11:59:59 PM	66154																																										
3/31/2007 11:59:59 PM	66172																																										
3/31/2007 11:59:59 PM	66275																																										
3/31/2007 11:59:59 PM	66837																																										
3/31/2007 11:59:59 PM	66846																																										
3/31/2007 11:59:59 PM	67142																																										
3/31/2007 11:59:59 PM	67151																																										
3/31/2007 11:59:59 PM	67209																																										
3/31/2007 11:59:59 PM	67254																																										
3/31/2007 11:59:59 PM	67311																																										
3/31/2007 11:59:59 PM	68345																																										
3/31/2007 11:59:59 PM	68448																																										
3/31/2007 11:59:59 PM	68756																																										
3/31/2007 11:59:59 PM	68831																																										
3/31/2007 11:59:59 PM	68840																																										
3/31/2007 11:59:59 PM	68859																																										
3/31/2007 11:59:59 PM	68943																																										
3/31/2007 11:59:59 PM	69333																																										
3/31/2007 11:59:59 PM	69351																																										
3/31/2007 11:59:59 PM	69678																																										
3/31/2007 11:59:59 PM	69847																																										
3/31/2007 11:59:59 PM	70049																																										
3/31/2007 11:59:59 PM	70058																																										
3/31/2007 11:59:59 PM	70076																																										
3/31/2007 11:59:59 PM	70151																																										
3/31/2007 11:59:59 PM	70218																																										
3/31/2007 11:59:59 PM	70254																																										
3/31/2007 11:59:59 PM	70414																																										
3/31/2007 11:59:59 PM	70638																																										
3/31/2007 11:59:59 PM	70955																																										
3/31/2007 11:59:59 PM	71318																																										
3/31/2007 11:59:59 PM	71457																																										
3/31/2007 11:59:59 PM	71859																																										
3/31/2007 11:59:59 PM	72258																																										
3/31/2007 11:59:59 PM	72351																																										
3/31/2007 11:59:59 PM	72454																																										
3/31/2007 11:59:59 PM	72614																																										
3/31/2007 11:59:59 PM	72678																																										
3/31/2007 11:59:59 PM	73031																																										
3/31/2007 11:59:59 PM	73116																																										
3/31/2007 11:59:59 PM	73152																																										
3/31/2007 11:59:59 PM	73554																																										
3/31/2007 11:59:59 PM	73956																																										
3/31/2007 11:59:59 PM	74056																																										
3/31/2007 11:59:59 PM	74140																																										
3/31/2007 11:59:59 PM	74159																																										
3/31/2007 11:59:59 PM	74337																																										
3/31/2007 11:59:59 PM	74403																																										
