Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2015 11:59:59 PM	10250	21.68	3.32	11.15	66.54	0.6	12.21	3.92	0	0	0	0	0	23.51	0	13.22	0	0	52.15	6.11	46.04	69.76	16.8	52.96	63.73	122.2	-11.58	0	0	0	
3/31/2015 11:59:59 PM	10849	27.43	15.49	4.97	48.29	0.36	8.46	15.84	4.06	2.51	0	0	0	18.92	12.28	3.99	0.14	1.28	46.21	0.57	45.64	61.56	11.41	50.14	48.62	105.22	-2.41	0	0	0	
3/31/2015 11:59:59 PM	11145	31.77	0.16	8.68	49.42	0.29	12.31	0.45	1.14	0.16	0	0	0	9.16	0	8.9	0	0	43.81	2.65	41.16	63.27	13.94	49.33	65.66	149.85	-21.84	0	0	0	
3/31/2015 11:59:59 PM	11275	27.06	15.01	1.12	63.79	1.27	6.08	16.28	0	0	0.46	0	0.47	0.59	4.02	49.2	0.01	0.1	39	0.66	38.34	53.33	9.14	44.2	50.95	130.64	-11.95	4.67	0.03	4.7	
3/31/2015 11:59:59 PM	11640	9.4	1.99	1.65	81.31	4.38	25.1	6.37	0	0	9.03	0	9.03	34.91	0	15.49	0	0	53.42	4.76	48.66	67.14	16.56	50.58	58.65	109.79	-5.23	84.94	0	84.94	
3/31/2015 11:59:59 PM	11837	13.31	9.89	1.37	67.58	1.85	28.53	11.74	0	0	0	0	0	47.86	0	0.83	0	0	52.96	10.45	42.51	68.19	16.47	51.73	53.95	101.87	-0.99	0	0	0	
3/31/2015 11:59:59 PM	12030	16.1	0.09	8.29	62.94	3.42	9.87	3.51	0	0	0	0	0	4.28	1.04	4.82	0.03	0.21	33.77	1.35	32.42	52.05	8.49	43.56	46.79	138.57	-13.02	0	0	0	
3/31/2015 11:59:59 PM	12142	24.85	9.03	2.07	58.56	2.84	12.25	11.86	0.43	0.19	3.24	0	3.24	34.11	0.35	8.05	0	0.02	48.55	0	48.55	63.58	0.52	63.06	66.68	137.34	-18.13	32.39	0	32.39	
3/31/2015 11:59:59 PM	12179	51.4	41.5	8.4	24	2.64	9.2	44.14	0.11	0	0	0	0	2.25	0.22	1.92	0	0	66.37	5.22	61.15	69.65	16.28	53.38	43.9	66.15	22.46	0	0	0	
3/31/2015 11:59:59 PM	12311	13.1	2.65	6.83	65.91	1.22	10.01	3.88	12.18	10.06	0	0.23	0.23	14.11	4.92	32.97	0.06	0.67	41.96	1.93	40.04	50.29	7.87	42.42	72.92	173.78	-30.96	0	2.74	2.74	
3/31/2015 11:59:59 PM	12647	19.29	0	1.5	67.32	0	5.77	0	1.1	0.25	0.97	0	0.97	0	18.2	14.78	0.17	1.28	16.63	0	16.63	49.11	9.54	39.57	56.13	337.56	-39.5	7.42	0	7.42	
3/31/2015 11:59:59 PM	12656	30.88	6.97	15.79	34.78	0.85	11.62	7.82	0	0	0	0	0	0	4.92	2.12	0.04	0.43	44.23	1.22	43.01	57	8.8	48.2	53.74	121.49	-9.51	0	0	0	
3/31/2015 11:59:59 PM	12937	7.87	0	0	69.23	0.01	2.78	0.01	0	0	0	0	0	3.03	0	16.08	0	0	27.81	0.19	27.62	46.36	2.08	44.28	60.61	217.99	-32.81	0	0	0	
