Reporting Period	ID RSSD	UBPR3632	UBPR3792	UBPR5310	UBPR5311	UBPR8274	UBPR8275	UBPRH392	UBPRH393	UBPRH394	UBPRH395	UBPRH396	UBPRH397	UBPRH398	UBPRP742	UBPRP839	UBPRP840	UBPRP841	UBPRP842	UBPRP843	UBPRP849	UBPRP851	UBPRP852	UBPRP856	UBPRP857	UBPRP858	UBPRP859	UBPRP860	UBPRP861	UBPRP862	UBPRP863	UBPRP864	UBPRP865	UBPRP866	UBPRP867	UBPRP868	UBPRP870	UBPRP872	UBPRQ257	
		UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	ADV AP ACC COMP INC	ADV AP RELATED ADJ	ADV AP ELIG CR RESERVE	ADV AP TIER 2 CAP B4 DED	ADV AP EXIT INS TOT CAP	UBPR OTHR DED CET1	SIG INV MSA DF TX ASSET PCT LIMIT	COMMON EQUITY TIER 1 CAPITAL	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NET GNS (LSSES) HTM SEC AOCI	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	UNREALIZED GAINS ON A-F-S EQUITY SEC	
3/31/2015 11:59:59 PM	9357	23645	55114	3194		51920	3194	247	247				0	0	55160	0	79052	26747	138	0		0	51920	0	0	0	51920	0	0	0	0	0	0	0	0	0	3194	0	0	
3/31/2015 11:59:59 PM	9553	9961	12925	953		11972	953	-661	-572				0	0	2100	0	11400	0	0	0		0	11972	0	0	0	11972	0	0	0	0	0	0	0	0	0	953	0	0	
3/31/2015 11:59:59 PM	9807	205491	315280	30141		285139	30141	-54755	-54755				0	0	132272	0	283008	0	0	0		0	337763	0	52624	52624	285139	0	0	0	0	0	0	0	0	0	30141	0	0	
3/31/2015 11:59:59 PM	9955	13097	17222	992		16230	992	207	207				0	0	3133	0	16437	0	0	0		0	16230	0	0	0	16230	0	0	0	0	0	0	0	0	0	992	0	0	
3/31/2015 11:59:59 PM	10250	847	32190	3142		29048	3142	621	621				0	0	32300	0	33768	0	0	1640		0	31507	0	2459	2459	29048	0	0	0	0	2459	0	0	0	0	3142	0	0	
3/31/2015 11:59:59 PM	10849	12674	28314	1434		26880	1434	-234	-234				0	0	15391	0	27831	694	0	491		0	26880	0	0	0	26880	0	0	0	0	0	0	0	0	0	1434	0	0	
3/31/2015 11:59:59 PM	11145	9307	20591	1734		18857	1734	225	225				0	0	10000	0	19532	450	0	0		0	18857	0	0	0	18857	0	0	0	0	0	0	0	0	0	1734	0	0	
3/31/2015 11:59:59 PM	11275	53143	151647	14924		136723	14924	-4	-4				0	0	87519	0	140658	3939	0	0		0	136723	0	0	0	136723	0	0	0	0	0	0	0	0	0	14924	0	0	
3/31/2015 11:59:59 PM	11640	4900	41661	2511		39150	2511	1173	1173				0	0	34250	0	40323	0	0	0		0	39150	0	0	0	39150	0	0	0	0	0	0	0	0	0	2511	0	0	
3/31/2015 11:59:59 PM	11837	899	12580	461		12119	461	75	75				0	0	12000	0	12974	0	0	780		0	12119	0	0	0	12119	0	0	0	0	0	0	0	0	0	461	0	0	
3/31/2015 11:59:59 PM	12030	47846	51314	2868		48446	2868	105	105				0	0	600	0	48551	0	0	0		0	48446	0	0	0	48446	0	0	0	0	0	0	0	0	0	2868	0	0	
3/31/2015 11:59:59 PM	12142	7260	23315	1555		21760	1555	-531	-531				0	0	14500	0	21229	0	0	0		0	21760	0	0	0	21760	0	0	0	0	0	0	0	0	0	1555	0	0	
3/31/2015 11:59:59 PM	12179	7671	7947	276		7671	276	0	0				0	0	0	0	7671	0	0	0		0	7671	0	0	0	7671	0	0	0	0	0	0	0	0	0	276	0	0	
3/31/2015 11:59:59 PM	12311	267687	6440436	655660		5664203	776233	-146886	-146887				0	0	5835696	0	5956497	617863	23218	14746		0	5447557	0	0	0	5447557	0	0	238765	238765	22119	216646	120500	0	0	776233	0	73	
3/31/2015 11:59:59 PM	12647	1938	12202	852		11350	852	0	0				0	0	9412	0	11350	0	0	0		0	11350	0	0	0	11350	0	0	0	0	0	0	0	0	0	852	0	0	
3/31/2015 11:59:59 PM	12656	1187	1750	103		1647	103	0	0				0	0	460	0	1647	0	0	0		0	1647	0	0	0	1647	0	0	0	0	0	0	0	0	0	103	0	0	
3/31/2015 11:59:59 PM	12937	25580	33420	1840		31580	1840	-1	-1				0	0	6000	0	31579	0	0	0		0	31580	0	0	0	31580	0	0	0	0	0	0	0	0	0	1840	0	0	
3/31/2015 11:59:59 PM	12946	67358	118282	12301		105815	12467	3793	3793				0	0	55743	0	126894	16399	887	0		0	105815	0	0	0	105815	0	0	0	0	0	0	0	0	0	12467	0	166	
3/31/2015 11:59:59 PM	12955	3303	14372	1269		13103	1269	0	0				0	0	9800	0	13103	0	0	0		0	13103	0	0	0	13103	0	0	0	0	0	0	0	0	0	1269	0	0	
3/31/2015 11:59:59 PM	13103	176582	226594	11800		202156	24438	15466	15466				0	0	34519	0	226567	6628	2528	0		0	201945	0	0	0	201945	0	0	211	211	0	211	0	0	50	24438	0	12588	
3/31/2015 11:59:59 PM	13251	2480	4785	305		4480	305	11	11				0	0	2000	0	4491	0	0	0		0	4480	0	0	0	4480	0	0	0	0	0	0	0	0	0	305	0	0	
3/31/2015 11:59:59 PM	13457	5811	6176	163		6013	163	35	35				0	0	202	0	6048	0	0	0		0	6013	0	0	0	6013	0	0	0	0	0	0	0	0	0	163	0	0	
3/31/2015 11:59:59 PM	14052	4496	7685	502		7183	502	28	28				0	0	2688	0	7212	0	0	1		0	7183	0	0	0	7183	0	0	0	0	0	0	0	0	0	502	0	0	
3/31/2015 11:59:59 PM	14155	16488	18142	1654		16488	1654	114	114				0	0	0	0	16602	0	0	0		0	16488	0	0	0	16488	0	0	0	0	0	0	0	0	0	1654	0	0	
3/31/2015 11:59:59 PM	14650	2915	3616	291		3325	291	1	1				0	0	500	0	3416	90	0	0		0	3325	0	0	0	3325	0	0	0	0	0	0	0	0	0	291	0	0	
3/31/2015 11:59:59 PM	14753	1678	4600	368		3255	1345	85	85				0	0	1577	0	3340	0	0	0		0	3255	0	0	0	3255	0	0	0	0	0	0	977	0	0	1345	0	0	
3/31/2015 11:59:59 PM	14865	20966	36437	2787		33650	2787	142	142				0	0	13361	0	34469	0	26	260		0	34041	0	391	391	33650	0	0	0	0	0	0	0	0	0	2787	0	0	
3/31/2015 11:59:59 PM	14977	8140	8522	382		8140	382	89	89				0	0	0	0	8229	0	0	0		0	8140	0	0	0	8140	0	0	0	0	0	0	0	0	0	382	0	0	
3/31/2015 11:59:59 PM	16551	15670	27214	2293		24921	2293	615	615				0	0	10000	0	26285	564	185	0		0	24921	0	0	0	24921	0	0	0	0	0	0	0	0	0	2293	0	0	
3/31/2015 11:59:59 PM	16748	4481	7970	489		7481	489	204	204				0	0	3000	0	7685	0	0	0		0	7481	0	0	0	7481	0	0	0	0	0	0	0	0	0	489	0	0	
3/31/2015 11:59:59 PM	16944	472	3137	165		2972	165	-228	-228				0	0	2500	0	2744	0	0	0		0	2972	0	0	0	2972	0	0	0	0	0	0	0	0	0	165	0	0	
3/31/2015 11:59:59 PM	16953	1827	5204	127		5077	127	71	71				0	0	3250	0	5148	0	0	0		0	5077	0	0	0	5077	0	0	0	0	0	0	0	0	0	127	0	0	
3/31/2015 11:59:59 PM	17110	10351	17955	318		17637	318	0	0				0	0	7286	0	17637	0	0	0		0	17637	0	0	0	17637	0	0	0	0	0	0	0	0	0	318	0	0	
3/31/2015 11:59:59 PM	17147	179717	667161	58630		608531	58630	526	526				0	0	631363	0	811606	193802	3439	2123		0	611716	0	3185	3185	608531	0	0	0	0	3185	0	0	0	0	58630	0	0	
3/31/2015 11:59:59 PM	17259	3999	5765	228		5537	228	368	368				0	0	1538	0	5905	0	0	0		0	5537	0	0	0	5537	0	0	0	0	0	0	0	0	0	228	0	0	
3/31/2015 11:59:59 PM	17464	63199	214290	22967		191318	22972	3783	3783				0	3674	247004	0	313986	78610	2991	13444		0	215158	0	20166	23840	191318	0	0	0	0	0	0	0	0	0	22972	0	5	
3/31/2015 11:59:59 PM	17950	20843	35939	2491		33448	2491	1603	1603				0	0	13775	0	36221	1170	0	0		0	33448	0	0	0	33448	0	0	0	0	0	0	0	0	0	2491	0	0	
3/31/2015 11:59:59 PM	17978	106527	107956	1429		106527	1429	0	0				0	0	0	0	106527	0	0	0		0	106527	0	0	0	106527	0	0	0	0	0	0	0	0	0	1429	0	0	
3/31/2015 11:59:59 PM	18050	38761	50957	3401		47556	3401	2988	2988				0	0	8885	0	50634	0	90	0		0	47556	0	0	0	47556	0	0	0	0	0	0	0	0	0	3401	0	0	
3/31/2015 11:59:59 PM	18135	14564	22266	1190		21076	1190	540	540				0	0	6512	0	21616	0	0	0		0	21076	0	0	0	21076	0	0	0	0	0	0	0	0	0	1190	0	0	
3/31/2015 11:59:59 PM	18377	4269	4413	144		4269	144	157	157				0	0	0	0	4426	0	0	0		0	4269	0	0	0	4269	0	0	0	0	0	0	0	0	0	144	0	0	
