Reporting Period	ID RSSD	UBPR0416	UBPR3506	UBPR5369	UBPR8783	UBPRE582	UBPRE583	UBPRE588	UBPRE589	UBPRE590	UBPRE602	UBPRE621	UBPRE622	UBPRE623	UBPRE624	UBPRG378	UBPRM026	UBPRM027	UBPRM028	UBPRM029	UBPRM030	UBPRM031	UBPRM032	UBPRM033	UBPRM034	UBPRM035	UBPRM036	UBPRM037	UBPRM038	UBPRM039	UBPRM042	
		PLEDGED SECURITIES-BOOK VLAUE	OTH ASSETS-PAST DUE 90DYS OR MOR,ACG	LOANS AND LEASES HELD FOR SALE	FAIR VALUE OF STRUCTURED NOTES	INV_TEMP	ASET_INV_LNLS_LT1	SEC_DBT_NCUR	INV_TEMP_TA	SEC_MKTB_TA	LNLS_LTR_CR_TA	APP_HRSK_NTE_STRU	SEC_APP_DPR_BV_SEC	SEC_APP_ECAP	SEC_PLDG_TS	PLDG LN AND LEASE	PLEDGED ASSETS / PCT OF TOT ASSETS	US TREAS GOVT AGENCIES / PCT OF TOT 	MUNI SEC / PCT OF TOT SEC	PASS-THRU MBS / PCT OF TOT SCTY	CMO REMIC MBS / PCT OF TOT SCTY	CMRL MBS / PCT OF TOT SCTY	ABS / PCT OF TOT SCTY	STRUCT FIN PROD / PCT OF TOT SCTY	OTHR DOM DEBT SECS / PCT OF TOT SCTY	FOR DEBT SEC / PCT OF TOT SCTY	MUT FND OTH MKTBL SCTY / PCT TOT SY	APP IN AFS SEC / PCT OF AFS SEC	PLEDGED LN / PCT OF TOT LN	LN HELD FOR SALE / PCT OF TOT LN	SEC CATEGORIES, PCT TOT SEC	
3/31/2018 11:59:59 PM	22543	0	0	832	0	7855	22280	0	6.21	0.46	87.25	0		0	0	45788	36.19	66.92	21.16	0	0	0	0	0	0	0	11.92	-1.3	41.24	0.75	100	
3/31/2018 11:59:59 PM	22552	1750	0	0	0	4180	33574	0	4.04	0	87.88	0	-2.06	-0.12	85.12	4000	5.56	0	86.38	13.62	0	0	0	0	0	0	0	-0.07	4.34	0	100	
3/31/2018 11:59:59 PM	22730	25283	0	0	0	6330	9045	0	3.31	0	46.31	0		0	29.56	58883	43.95	14.54	28.02	20.98	4.25	32.21	0	0	0	0	0	-2.41	65.91	0	100	
3/31/2018 11:59:59 PM	22936	3070	0	0	0	41191	70904	0	21	0	54.33	0		0	7.54	26964	15.31	29.05	0	19.17	35.09	14.31	0	0	2.38	0	0	-2.52	25.04	0	100	
3/31/2018 11:59:59 PM	23456	18220	0	0	0	5088	44754	0	2.52	0	65.39	0	0	0	31.25	25334	21.58	0.84	54	35.64	8.41	1.11	0	0	0	0	0	-0.84	18.96	0	100	
3/31/2018 11:59:59 PM	23504	574027	0	0	0	70893	397760	0	1.58	0	70.97	0	-1.82	-0.64	63.63	1290062	41.43	6.21	15.89	20.68	38.05	11.79	2.59	0	3.75	1.04	0	-3.27	40.29	0	100	
3/31/2018 11:59:59 PM	23643	51132	0	130	31364	8151	36776	0	3.82	0	57.82	-7.58		0	70.38	25553	35.96	44.52	54.34	0	1.14	0	0	0	0	0	0	-4.14	20.59	0.1	100	
3/31/2018 11:59:59 PM	23755	24989	0	0	0	8726	19324	0	4.38	0	61.69	0		0	44.17	83900	54.68	0	36.58	40.71	22.71	0	0	0	0	0	0	-1.84	67.48	0	100	
3/31/2018 11:59:59 PM	24006	128400	0	0	1976	83771	136493	0	5.75	0	60.51	-0.01	-2.3	-4.37	26.69	117967	16.92	44.61	2.38	29.08	11.21	11.01	0	0	1.72	0	0	-1.58	13.35	0	100	
3/31/2018 11:59:59 PM	24378	0	0	0	0	6084	6774	0	9.7	0	65.72	0	0	0	0	12000	19.14	0	22.85	77.15	0	0	0	0	0	0	0	0.13	28.98	0	100	
3/31/2018 11:59:59 PM	24453	8823	0	220	0	28274	62358	0	10	0	78.68	0		0	94.78	102649	39.43	98.81	0	1.19	0	0	0	0	0	0	0	-0.5	45.53	0.1	100	
3/31/2018 11:59:59 PM	24659	2277	0	0	0	27377	37839	0	39.84	0	45.63	0	-0.58	-0.65	32.77	0	3.31	72.79	27.21	0	0	0	0	0	0	0	0		0	0	100	
3/31/2018 11:59:59 PM	24668	83994	0	0	0	26632	395741	0	1.5	0	66.09	0		0	15.94	521579	34.16	0	90.06	9.94	0	0	0	0	0	0	0	-2.61	44.11	0	100	
3/31/2018 11:59:59 PM	24949	8862	0	285	0	66257	99949	0	17.27	0	63.02	0		0	15.24	26574	9.23	13.19	6.61	9.42	26.61	42.71	1.46	0	0	0	0	-2.3	10.79	0.12	100	
3/31/2018 11:59:59 PM	25357	24616	0	0	0	8807	110657	0	2.16	0	79.95	0	0.7	0.5	50.2	63598	21.59	0	0.23	9.31	68.85	21.6	0	0	0	0	0	-0.46	19.38	0	100	
