Reporting Period	ID RSSD	UBPRB705	UBPRB706	UBPRB707	UBPRB708	UBPRB710	UBPRB712	UBPRB713	UBPRB714	UBPRB715	UBPRB717	UBPRB719	UBPRB720	UBPRB721	UBPRB722	UBPRB724	UBPRE711	UBPRE712	UBPRE713	UBPRE714	UBPRE715	UBPRE716	UBPRE717	UBPRE718	UBPRE719	UBPRE720	UBPRE721	UBPRE722	UBPRE723	UBPRE724	UBPRE725	UBPRE726	UBPRE727	UBPRE728	UBPRE729	UBPRE730	UBPRE731	UBPRE732	UBPRE733	UBPRE734	UBPRE735	UBPRE736	UBPRE737	UBPRE738	UBPRE739	UBPRE740	UBPRE741	UBPRE742	UBPRE743	UBPRE744	UBPRE745	UBPRE746	UBPRE747	UBPRE748	UBPRE749	UBPRE750	UBPRE751	UBPRE752	UBPRE753	UBPRE754	UBPRE755	UBPRE756	UBPRE757	UBPRE758	UBPRE759	UBPRE760	UBPRE761	UBPRE762	UBPRE763	UBPRE764	UBPRE765	UBPRE766	UBPRE767	UBPRE768	UBPRE769	UBPRE770	UBPRE771	UBPRE772	UBPRE773	UBPRE774	UBPRE775	UBPRE776	UBPRE777	UBPRE778	UBPRE779	UBPRE780	UBPRE781	UBPRE782	UBPRE783	UBPRE784	UBPRE785	UBPRE786	UBPRE787	UBPRE788	UBPRE789	UBPRE790	UBPRE791	UBPRE792	UBPRE793	UBPRE794	UBPRE795	UBPRE796	UBPRE797	UBPRE798	UBPRE799	UBPRE800	UBPRE801	
3/31/2018 11:59:59 PM	25357																0															0										22.31																																																																		
3/31/2018 11:59:59 PM	25647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				24.81	1.69	0	0.07	3.91	69.52																																																													
3/31/2018 11:59:59 PM	26176																0															0										30.6																																																																		
3/31/2018 11:59:59 PM	26242																0															0										46.57																																																																		
3/31/2018 11:59:59 PM	26457																0															0										22.86																																																																		
3/31/2018 11:59:59 PM	26765																0															0										5.73																																																																		
3/31/2018 11:59:59 PM	27070																0															0										96.92																																																																		
3/31/2018 11:59:59 PM	27548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				13.91	2.76	0	0.83	36.92	45.58																																																													
3/31/2018 11:59:59 PM	27614																0															0										58.64																																																																		
3/31/2018 11:59:59 PM	27847																0															0										28.49																																																																		
3/31/2018 11:59:59 PM	28013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.82	1.53	0	0.05	2.04	82.56																																																													
3/31/2018 11:59:59 PM	28152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				24.34	1.28	0	4.16	10.88	59.33																																																													
3/31/2018 11:59:59 PM	28255																0															0										15.16																																																																		
3/31/2018 11:59:59 PM	28406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.69	3.28	0	0.9	10.63	40.5																																																													
3/31/2018 11:59:59 PM	28675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				50.89	5.1	0	2.93	2.89	38.19																																																													
3/31/2018 11:59:59 PM	28732																0															0										32.3																																																																		
3/31/2018 11:59:59 PM	29476																0															0										14.22																																																																		
3/31/2018 11:59:59 PM	29636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.75	4.49	0.3	3.1	10.54	63.81																																																													
3/31/2018 11:59:59 PM	29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.44	0	0	0	0	45.55																																																													
3/31/2018 11:59:59 PM	30052																0															0										7.27																																																																		
3/31/2018 11:59:59 PM	30502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				29.96	4.64	0	1.16	10.18	54.05																																																													
3/31/2018 11:59:59 PM	30650																0															0										11.58																																																																		
3/31/2018 11:59:59 PM	30810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52	0	79.1	20.16	0.16	0.05																																																													
3/31/2018 11:59:59 PM	31134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				44.9	0.19	0.31	15.01	10.63	28.95																																																													
3/31/2018 11:59:59 PM	31255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				41.24	1.24	0	0.26	12.58	44.68																																																													
3/31/2018 11:59:59 PM	31657																0															0										38.66																																																																		
3/31/2018 11:59:59 PM	31826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				39.36	1.03	0	7.35	7.02	45.24																																																													
3/31/2018 11:59:59 PM	31835																0															0										13.06																																																																		
3/31/2018 11:59:59 PM	32234																0															0										47.35																																																																		
3/31/2018 11:59:59 PM	32766																0															0										39.64																																																																		
3/31/2018 11:59:59 PM	32971																0															0										47.47																																																																		
3/31/2018 11:59:59 PM	33147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				26.57	0	0	4.03	16.17	53.24																																																													
3/31/2018 11:59:59 PM	33259																0															0										7.76																																																																		
3/31/2018 11:59:59 PM	33268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0				25.82	0	0	4.58	17.32	52.28																																																													
3/31/2018 11:59:59 PM	33370																0															0										72.62																																																																		
3/31/2018 11:59:59 PM	33839																0															0										34.17																																																																		
