Reporting Period	ID RSSD	UBPRE304	UBPRE305	UBPRE306	UBPRE307	UBPRE308	UBPRE309	UBPRE310	UBPRE311	UBPRE312	UBPRE313	UBPRE314	UBPRE315	UBPRE316	UBPRE317	UBPRE318	UBPRE319	UBPRE320	UBPRE321	UBPRE322	UBPRE323	UBPRE324	UBPRE325	UBPRE326	UBPRE327	UBPRE328	UBPRE329	UBPRE330	UBPRE331	UBPRE332	UBPRE333	UBPRE334	UBPRE335	UBPRE336	UBPRE337	UBPRE338	UBPRE339	UBPRE341	UBPRE342	UBPRE343	UBPRE344	UBPRHP05	UBPRHP06	UBPRHP07	
		CNTRC_INTRTE_TDER	CNTRC_FGEX_TDER	CNTRC_EQOT_TDER	CNTRC_FUTFWD_TDER	CNTRC_TOT_WO_TDER	CNTRC_EXTR_WO_TDER	CNTRC_OTC_WO_TDER	CNTRC_TOT_PO_TDER	CNTRC_EXTR_PO_TDER	CNTRC_OTC_PO_TDER	CNTRC_TOTSWAP_TDER	CNTRC_TOT_HFT_TDER	CNTRC_INRTHFT_TDER	CNTRC_FGEXHFT_TDER	CNTRC_EQCMHFT_TDER	CNTRC_TOT_NTR_TDER	CNTRC_INRTNTR_TDER	CNTRC_FGEXNTR_TDER	CNTRC_EQCMNTR_TDER	CNTRC_MTMNTR_TDER	CNTRC_RBC_TOT_TDER	CNTRC_LT1YRBC_TDER	CNTRC_1T5YRBC_TDER	CNTRC_OV5YRBC_TDER	CNTRC_NEGTOT_TDN34	CNTRC_POTOT_TDN034	CNTRC_NEGTOT_TIN34	CNTRC_POTOT_T1N034	CNTRC_TOT_HFT_T1	CNTRC_TOT_NTR_T1	CNTRC_MTM_NTR_T1	CR_EXPO_DER_T1	CNTRC_CR_LOS_T1LRG	CNTRC_90PDBV_T1LRG	CR_EXPO_DER_RWADJ	CNTRC_CRLOS_RESLRG	INT_IMPCT_INCNTN34	EXP_IMPCT_INCNTN34	NON_IMPCT_INCNTN34	NET_CHGNT_INCNTN34	NINT RT DRV CNT PCT TOT	HLD TRD NINT RT DRV CNT PCT TOT	NTRD NINT RT DRV CNT PCT TOT	
3/31/2014 11:59:59 PM	18827	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	0	100	1.58	0	0.01	0	0	0.7	0.7	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	18836																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	18854																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	19356																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	19730	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	98.23	98.23	0	0	0	0.06	0	0	0	0.01	0.01	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	19936																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	19972																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	20053																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	20512																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	20633																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	20857																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	21256																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	21359																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	21630																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	21658																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	22048	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	0	100	3.2	0	0.01	0	0	0.17	0.17	0			0						0	0	0	
3/31/2014 11:59:59 PM	22543																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	22552																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	22730																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	22936																											0	0	0	0	0	0		0	0									
3/31/2014 11:59:59 PM	23045																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	23456	100	0	0	100	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	100	100	0	0	0	9.89	0	0	0.03	0	0	0			0.04						0	0	0	
