Reporting Period	ID RSSD	UBPR3128	UBPR5320	UBPR5340	UBPR8764	UBPRA222	UBPRD654	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE660	UBPRF860	UBPRH300	UBPRH399	UBPRH400	UBPRH401	UBPRH402	UBPRH403	UBPRH404	UBPRH405	UBPRH406	UBPRH407	UBPRH408	UBPRH409	UBPRHR46	UBPRHR47	UBPRS497	UBPRS498	UBPRS499	UBPRS503	UBPRS504	UBPRS505	UBPRS506	UBPRS507	UBPRS510	UBPRS569	UBPRS570	UBPRS571	UBPRS577	UBPRS578	UBPRS581	
		ALLOCATED TRANSFER RISK RESERVES	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	NET CURRENT CREDIT EXPOSURE	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	RWA_OBS_20	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	RWA_ADJ_F	CATEGORY THREE 50 PCT	EF FUND CONTRBTNS CNTRL CNTRPRTIES	TOTAL BS RWA SCTY EXP SSFA	TOT BS RWA SCTY EXP GROSS UP	RWA OFF BS OTHR	OTC CONTRACTS INTEREST RATE	OTC CONTRACTS ALL OTHER	CENTRALLY CLEARED CONTRACTS INT RT	CENTRALLY CLEARED CONTRACTS ALL OTHR	RWA OBS 150PCT	RWA OBS 1250PCT	UBPR RPT OTC CNTS TOT	CENTRALLY CLEARED CONTRACTS TOTAL	TOT BAL SH ASSET 2 PCT RW CAT	TOT BAL SH ASSET 4 PCT RW CAT	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	OFF-BALANCE SHEELCULATION METHOD	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	TOTAL BALANCE SHEET ASSETS - 2 WEIGH	TOTAL BALANCE SHEET ASSETS - 3 WEIGH	TOTAL BALANCE SHEET ASSETS - 4 WEIGH	TOTAL BALANCE SHEET ASSETS - 6 WEIGH	TOTAL BALANCE SHEET ASSETS - 1 WEIGH	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	RISK-WEIGHTED AS WEIGHT CATEGORY	STANDARDIZED MARISK CAPITAL RULE	
3/31/2014 11:59:59 PM	21256	0	195	2894	0	84	1207	4972	0	0	35	35	0	5007	4923	871																													0	
3/31/2014 11:59:59 PM	21359	0	7549	10250	0	8	1058	13763	0	0	147	147	0	13910	13902	2455																													0	
3/31/2014 11:59:59 PM	21630	0	4505	36111	0	0	9418	54510	0	0	3	3	0	54513	54513	8981																													0	
3/31/2014 11:59:59 PM	21658	0	810	69693	0	509	12338	96272	0	0	276	276	0	96548	96039	14241																													0	
3/31/2014 11:59:59 PM	22048	0	16180	133796	0	591	4116	149071	0	23	601	624	0	149694	149103	11159																													0	
3/31/2014 11:59:59 PM	22543	0	25215	30132	0	70	5475	43054	0	0	1789	1789	0	44843	44773	7447																													0	
3/31/2014 11:59:59 PM	22552	0	297	66449	0	73	2380	74384	0	0	179	179	0	74563	74490	5555																													0	
3/31/2014 11:59:59 PM	22730	0	7487	55176	0	0	8947	80921	95	1668	4490	6253	0	87174	87174	16798																													0	
3/31/2014 11:59:59 PM	22936	0	33778	75331	0	1680	5881	95689	0	0	2171	2171	0	97860	96180	14477																													0	
3/31/2014 11:59:59 PM	23045	0	8920	9075	0	0	5092	15857	0	0	0	0	0	15857	15857	1690																													0	
3/31/2014 11:59:59 PM	23456	0	5146	66068	35	0	3942	76227	0	18	1673	1691	0	77918	77918	6217																													0	
3/31/2014 11:59:59 PM	23504	0	154654	1111525	0	0	130563	1347839	0	175	64896	65071	0	1412910	1412910	105751																													0	
3/31/2014 11:59:59 PM	23643	0	4801	91576	0	277	13310	119229	0	0	495	495	0	119724	119447	14343																													0	
3/31/2014 11:59:59 PM	23755	0	11393	93876	0	178	6642	115101	0	0	5611	5611	0	120712	120534	14583																													0	
3/31/2014 11:59:59 PM	24006	0	123616	368162	0	0	62402	518564	0	0	366	366	0	518930	518931	88001																													0	
3/31/2014 11:59:59 PM	24378	0	7273	7660	0	0	2450	29781	0	0	0	0	0	29781	29781	19671																													0	
3/31/2014 11:59:59 PM	24453	0	42683	96933	0	0	2201	128907	0	332	1500	1832	4	130739	130740	29774																													0	
3/31/2014 11:59:59 PM	24659	0	388	24568	0	0	7923	35597	0	0	68	68	0	35665	35665	3106																													0	
3/31/2014 11:59:59 PM	24668	0	21914	317115	0	0	13841	368068	0	0	15553	15553	0	383621	383621	37112																													0	
3/31/2014 11:59:59 PM	24855	0	0	6396	0	0	2612	9094	0	0	0	0	0	9094	9094	86																													0	
